Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Buenos Aires,buenos-aires,677fd5a3d0b28fb6788c9baa,6765aea29edd9107ae8e0af2,67fce1f88dfafb986a5d94d5,false,false,Mon Apr 14 2025 10:22:48 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 15:50:39 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 15:50:39 GMT+0000 (Coordinated Universal Time)
California,california,677fd5a3d0b28fb6788c9baa,6765aea29edd9107ae8e0af2,67fce183d1a58a399b78566c,false,false,Mon Apr 14 2025 10:20:51 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 15:50:39 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 15:50:39 GMT+0000 (Coordinated Universal Time)
Canada,canada,677fd5a3d0b28fb6788c9baa,6765aea29edd9107ae8e0af2,6814d1a8df78152d1b3c18d2,false,false,Fri May 02 2025 14:07:36 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 15:50:39 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 15:50:39 GMT+0000 (Coordinated Universal Time)
London,london,677fd5a3d0b28fb6788c9baa,6765aea29edd9107ae8e0af2,677fd5aec85ee02fbe08733c,false,false,Thu Jan 09 2025 13:57:02 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 15:50:39 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 15:50:39 GMT+0000 (Coordinated Universal Time)
Malmö,malmo,677fd5a3d0b28fb6788c9baa,6765aea29edd9107ae8e0af2,677fd5c77fd23c9d3d534022,false,false,Thu Jan 09 2025 13:57:27 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 15:50:39 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 15:50:39 GMT+0000 (Coordinated Universal Time)
